date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:42:51	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2006%20Sep%202022%2011:09:22%20GMT	https://govjobadda.org/exam-list	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/exam-list.0.delayed	(from )
16:42:52	3221/3221	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2006%20Sep%202022%2011:09:23%20GMT	https://govjobadda.org/robots.txt		(from )
16:42:52	122118/122118	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2011:09:23%20GMT	https://govjobadda.org/exam-list/	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/exam-list/index.html	(from )
16:42:53	4245/4245	---M--	200	added ('OK')	image/png	etag:%2284e9d47732a8461386ddf3ccc985816d%22	https://govjob-media.s3.amazonaws.com/media/2018/9/1/16/50/7/Selection_265.png?v=140	C:/Users/Admin/Desktop/project%20copy/web4/govjob-media.s3.amazonaws.com/media/2018/9/1/16/50/7/Selection_2657d0b.png	(from https://govjobadda.org/exam-list/)
16:42:54	78752/78752	---M--	200	added ('OK')	text/css	etag:%225dc67530-133a0%22	https://govjobadda.org/static/govjobadda_reborn/libraries/fonts/fontawesome-4.7.0_and_ionicons-2.0.1/css/font-awesome_ionicons.min.css	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/static/govjobadda_reborn/libraries/fonts/fontawesome-4.7.0_and_ionicons-2.0.1/css/font-awesome_ionicons.min.css	(from https://govjobadda.org/exam-list/)
16:42:54	7718/7718	---M--	200	added ('OK')	text/css	etag:%225dc6752e-1e26%22	https://govjobadda.org/static/govjobadda_reborn/libraries/normalize.css	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/static/govjobadda_reborn/libraries/normalize.css	(from https://govjobadda.org/exam-list/)
16:42:54	121200/121200	---M--	200	added ('OK')	text/css	etag:%225dc67530-1d970%22	https://govjobadda.org/static/govjobadda_reborn/libraries/bootstrap.3.3.7/css/bootstrap.min.css	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/static/govjobadda_reborn/libraries/bootstrap.3.3.7/css/bootstrap.min.css	(from https://govjobadda.org/exam-list/)
16:42:55	75052/75052	---M--	200	added ('OK')	text/css	etag:%225dc6752e-1252c%22	https://govjobadda.org/static/govjobadda_reborn/libraries/animate.css	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/static/govjobadda_reborn/libraries/animate.css	(from https://govjobadda.org/exam-list/)
16:42:55	63535/63535	---M--	200	added ('OK')	text/css	etag:%225de3dbb0-f82f%22	https://govjobadda.org/static/govjobadda_reborn/css/style.css?v=10	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/static/govjobadda_reborn/css/styleb6f5.css	(from https://govjobadda.org/exam-list/)
16:42:55	2410/2410	---M--	200	added ('OK')	text/css	etag:%225dc67530-96a%22	https://govjobadda.org/static/govjobadda_reborn/css/non_logged_in_navbar.css?v=10	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/static/govjobadda_reborn/css/non_logged_in_navbarb6f5.css	(from https://govjobadda.org/exam-list/)
16:42:55	18805/18805	---M--	200	added ('OK')	text/css	etag:%225dc67530-4975%22	https://govjobadda.org/static/govjobadda_reborn/css/helper_classes.css?v=10	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/static/govjobadda_reborn/css/helper_classesb6f5.css	(from https://govjobadda.org/exam-list/)
16:42:55	14500/14500	---M--	200	added ('OK')	image/png	etag:%225dc673ca-38a4%22	https://govjobadda.org/static/govjobadda_reborn/images/govjobadda_reborn_logo_wide.png	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/static/govjobadda_reborn/images/govjobadda_reborn_logo_wide.png	(from https://govjobadda.org/exam-list/)
16:42:56	76628/76628	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2011:09:27%20GMT	https://govjobadda.org/	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/index.html	(from https://govjobadda.org/exam-list/)
16:42:56	10086/10086	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2011:09:28%20GMT	https://govjobadda.org/current-affairs/	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/current-affairs/index.html	(from https://govjobadda.org/exam-list/)
16:42:56	7353/7353	---M--	200	added ('OK')	image/jpeg	etag:%22ce9449f90f47b88b5529f738a546165a%22	https://govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2019/11/7/16/33/3/RPF-logo.jpg	C:/Users/Admin/Desktop/project%20copy/web4/govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2019/11/7/16/33/3/RPF-logo.a.delayed	(from https://govjobadda.org/exam-list/)
16:42:57	10832/10832	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2011:09:28%20GMT	https://govjobadda.org/contact-us/	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/contact-us/index.html	(from https://govjobadda.org/exam-list/)
16:42:57	17008/17008	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2011:09:28%20GMT	https://govjobadda.org/blogs/	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/blogs/index.html	(from https://govjobadda.org/exam-list/)
16:42:57	51245/51245	---M--	200	added ('OK')	image/jpeg	etag:%22ac411485ad942fb26854777666fabfd8%22	https://govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2019/12/24/12/21/34/images.jpg	C:/Users/Admin/Desktop/project%20copy/web4/govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2019/12/24/12/21/34/images.jpg	(from https://govjobadda.org/exam-list/)
16:42:58	12658/12658	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2011:09:29%20GMT	https://govjobadda.org/accounts/login/	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/accounts/login/index.html	(from https://govjobadda.org/exam-list/)
16:42:58	12781/12781	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2011:09:29%20GMT	https://govjobadda.org/accounts/register/	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/accounts/register/index.html	(from https://govjobadda.org/exam-list/)
16:42:58	13971/13971	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2011:09:29%20GMT	https://govjobadda.org/rpf-constable-exam-free-test-series-list/5dc3f9e7056e37432bc192bb/	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/rpf-constable-exam-free-test-series-list/5dc3f9e7056e37432bc192bb/index.html	(from https://govjobadda.org/exam-list/)
16:42:59	107369/107369	---M--	200	added ('OK')	image/png	etag:%22cb92bd984d1d21868c0fb790bdbfd5c4%22	https://govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2019/11/9/0/23/0/91ce9eed2c3de11b2d4607f1268be5d7.png	C:/Users/Admin/Desktop/project%20copy/web4/govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2019/11/9/0/23/0/91ce9eed2c3de11b2d4607f1268be5d7.png	(from https://govjobadda.org/exam-list/)
16:42:59	13945/13945	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2011:09:30%20GMT	https://govjobadda.org/hssc-canal-patwari-exam-free-test-series-list/5e01b576056e3775449da16a/	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/hssc-canal-patwari-exam-free-test-series-list/5e01b576056e3775449da16a/index.html	(from https://govjobadda.org/exam-list/)
16:42:59	14036/14036	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2011:09:30%20GMT	https://govjobadda.org/rbi-assistant-prelim-exam-exam-free-test-series-list/5dc5b98c056e375e9f3b03dd/	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/rbi-assistant-prelim-exam-exam-free-test-series-list/5dc5b98c056e375e9f3b03dd/index.html	(from https://govjobadda.org/exam-list/)
16:43:00	13920/13920	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2011:09:31%20GMT	https://govjobadda.org/hssc-sub-inspector-exam-free-test-series-list/5e01d806056e377545323189/	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/hssc-sub-inspector-exam-free-test-series-list/5e01d806056e377545323189/index.html	(from https://govjobadda.org/exam-list/)
16:43:00	51245/51245	---M--	200	added ('OK')	image/jpeg	etag:%22ac411485ad942fb26854777666fabfd8%22	https://govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2019/12/24/14/49/2/images.jpg	C:/Users/Admin/Desktop/project%20copy/web4/govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2019/12/24/14/49/2/images.jpg	(from https://govjobadda.org/exam-list/)
16:43:00	13926/13926	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2011:09:32%20GMT	https://govjobadda.org/dmrc-cra-exam-exam-free-test-series-list/5e254a43056e3774c0e56258/	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/dmrc-cra-exam-exam-free-test-series-list/5e254a43056e3774c0e56258/index.html	(from https://govjobadda.org/exam-list/)
16:43:01	14996/14996	---M--	200	added ('OK')	image/png	etag:%227a9d3753b3ce46886a75e3a8e1935421%22	https://govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2020/1/20/12/5/47/349px-Delhi_Metro_logo.png	C:/Users/Admin/Desktop/project%20copy/web4/govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2020/1/20/12/5/47/349px-Delhi_Metro_logo.png	(from https://govjobadda.org/exam-list/)
16:43:02	13939/13939	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2011:09:33%20GMT	https://govjobadda.org/niacl-ao-prelim-exam-free-test-series-list/5dd42ec1056e37772346e5d8/	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/niacl-ao-prelim-exam-free-test-series-list/5dd42ec1056e37772346e5d8/index.html	(from https://govjobadda.org/exam-list/)
16:43:02	60275/60275	---M--	200	added ('OK')	image/jpeg	etag:%220e202ba4868f48d1149e5ea2edbe12ef%22	https://govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2019/11/19/23/34/49/761657-niacl.jpg	C:/Users/Admin/Desktop/project%20copy/web4/govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2019/11/19/23/34/49/761657-niacl.jpg	(from https://govjobadda.org/exam-list/)
16:43:03	14106/14106	---MCZ	200	added ('OK')	text/html	date:Tue,%2006%20Sep%202022%2011:09:34%20GMT	https://govjobadda.org/indian-navy-aa-ssr-exam-2020-exam-free-test-series-list/5e25799f056e3774bba862b4/	C:/Users/Admin/Desktop/project%20copy/web4/govjobadda.org/indian-navy-aa-ssr-exam-2020-exam-free-test-series-list/5e25799f056e3774bba862b4/index.html	(from https://govjobadda.org/exam-list/)
16:43:03	217333/217333	---M--	200	added ('OK')	image/png	etag:%2274ae13948eacb27d4aa12954ff6fe9df%22	https://govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2020/1/20/15/31/27/Indian-navy-logo-PNG-715x7151.png	C:/Users/Admin/Desktop/project%20copy/web4/govjobreborn-media.s3.ap-south-1.amazonaws.com/media/2020/1/20/15/31/27/Indian-navy-logo-PNG-715x7151.png	(from https://govjobadda.org/exam-list/)
